C7057|Disease, Disorder or Finding
C83463|Vital Signs Character Result in Standard Unit
C111860|Maternal Mortality
C111858|Direct Maternal Death
C111859|Indirect Maternal Death
C117221|Original Result or Finding
C119767|Body Weight Gain Original Result
C119805|Clinical Observations Original Result
C119785|Body Weight Original Result
C117546|Death Diagnosis Original Result
C117397|Disease Response Original Result
C123983|Cardiovascular System Findings Original Result
C83102|Drug Accountability Assessment Original Result
C83104|Electrocardiogram Original Result
C113364|Findings About Events or Interventions Original Result
C119833|Food and Water Consumption Original Result
C83297|Inclusion Exclusion Criterion Original Result
C83165|Laboratory Test Original Result
C117559|Immunogenicity Specimen Assessments Original Result
C87907|Microbiology Specimen Examination Original Result
C87935|Microbiology Susceptibility Original Result
C119863|Macroscopic Findings Original Result
C117582|Microscopic Findings Original Result
C117611|Morphology Original Result
C119887|Organ Measurements Original Result
C119911|Palpable Masses Original Result
C87981|Pharmacokinetic Parameter Original Result
C87961|Pharmacokinetic Concentration Original Result
C83375|Questionnaire Original Result
C123984|Respiratory System Findings Original Result
C83352|Physical Examination Original Result
C117644|Reproductive System Findings Original Result
C117679|Skin Response Original Result
C117663|Subject Status Original Result
C119934|Tumor Findings Original Result
C83107|Subject Characteristics Original Result
C117416|Tumor Results Original Result
C117440|Tumor Identifier Original Result
C83108|Vital Signs Original Result
C28554|Dead
C116340|Brain Death
C141241|Death During, or within 90 Days of, Index Hospital Admission
C90351|Accidental Death
C82465|Death by Natural Cause
C99944|Died in a Medical Facility
C82466|Death by Undetermined Cause
C124600|Early Intrauterine Death
C124643|Late Intrauterine Death
C99798|Presumed Dead
C99799|Pronounced Dead
C107103|Sudden Death
C90481|Unscheduled Death
C48275|Death Related to Adverse Event
C121972|Induction Death
C54196|Cardiac Death
C50911|Sudden Cardiac Death
C54197|Non-Sudden Cardiac Death
C50620|Intrauterine Fetal Death
C112863|Late Fetal Death
C112862|Early Fetal Death
C49151|Stillbirth
C120583|Early Stillbirth
C113382|Intrapartum Stillbirth
C113381|Antepartum Stillbirth
C120585|Late Stillbirth
C60811|Pediatric Death
C118676|Perinatal Mortality
C121303|Post Neonatal Death
C80082|Neonatal Death
C85173|Sudden Infant Death Syndrome
C116772|Early Neonatal Death
C116773|Late Neonatal Death
C120592|Very Early Neonatal Death
C114870|Post-Natal Death at 16-20 Weeks Gestation
C2959|Complication
C5062|Cancer Fatigue
C50478|Capsular Contracture
C115199|Cardiovascular Complication
C116081|Dialysis Access Complication
C141244|Graft, Prosthesis, or Flap Failure
C115209|Dermatologic Complication
C131137|Immune-Mediated Adverse Reaction
C50606|Incisional Burn
C34735|Intraoperative Complication
C73505|Mechanical Ventilation Complication
C129533|Needle Tract Seeding
C115319|Ophthalmologic Complication
C115258|Musculoskeletal Complication
C124832|No Complication
C50702|Posterior Capsular Bag Tear
C116323|Postpartum Complication
C115337|Pulmonary Complication
C78567|Thoracic Procedure Postoperative Complication
C115772|Urinary Complication
C50707|Prosthetic Disc Impingement
C84415|Diabetes Complication
C113717|End Organ Damage from Diabetes
C107528|Chemotherapy-Related Nausea and/or Vomiting
C147045|Refractory Chemotherapy-Induced Nausea and Vomiting
C115214|Gastrointestinal Complication
C115224|Hepatic Complication
C8280|Perioperative/Postoperative Complications
C122581|Postoperative Infection
C75570|Graft Rejection
C111966|Primary Graft Failure After Hematopoietic Cell Transplantation
C111968|Secondary Graft Failure After Hematopoietic Cell Transplantation
C97128|Acute Rejection
C78719|Wound Complication
C122527|Disrupted Suture
C26727|Transplanted Organ Complication
C26991|Transplanted Liver Complication
C26993|Transplanted Lung Complication
C28215|Transplanted Pancreas Complication
C26992|Transplanted Heart Complication
C26990|Transplanted Kidney Complication
C81236|Birth Complication
C87067|Caput Succedaneum
C87127|Vasa Previa
C116821|Vacuum Extraction Chignon
C87126|Umbilical Cord Prolapse
C117318|Frank Umbilical Cord Prolapse
C117319|Occult Umbilical Cord Prolapse
C115320|Oral Complication
C8052|Oral Complications of Cancer and Cancer Therapy
C9225|Oral Complications of Chemotherapy and Head and Neck Radiation
C115322|Oral Complication of Radiation Therapy
C115321|Oral Complication of Chemotherapy
C34941|Pregnancy Complication
C92730|Angular Pregnancy
C92726|Abnormal Pregnancy
C113829|Discordant Twin
C112861|Embryonic Loss
C35580|Hemorrhagic Complication of Pregnancy
C92807|High Risk Pregnancy
C87084|Hyperemesis Gravidarum
C50607|Incompetent Cervix
C119954|Macrosomia
C92823|Late Pregnancy Bleeding
C92828|Maternal Fever
C92829|Maternal Hypotension
C113487|Non-Rh Blood Group Isoimmunization
C92839|Oligohydramnios
C112859|Peri-Implantational Loss
C92848|Polyhydramnios
C112851|Post Term Pregnancy
C113491|Precipitous Birth
C111950|Pregnancy with Intrauterine Device
C107527|Pregnancy-Related Nausea and/or Vomiting
C50917|Premature Labor
C112860|Pre-Embryonic Loss
C87113|Premature Rupture of Membrane
C84504|Rh Incompatibility
C113150|Rhesus Isoimmunization
C92862|Preterm Premature Rupture of Membrane
C81290|Shoulder Dystocia
C92913|Vaginal Bleeding during Pregnancy
C113825|Vanishing Twin Syndrome
C128716|Uterine Rupture
C114370|Antepartum Uterine Rupture
C87091|Labor and Delivery Complication
C118419|Labor Complication
C35594|Maternal Complication of Pregnancy
C112850|Symphysis Pubis Dysfunction
C87092|Large for Gestational Age
C114873|Fetus Large for Gestational Age
C114934|Small for Gestational Age
C118699|Small for Gestational Age for Length
C118698|Small for Gestational Age for Weight
C118702|Small for Gestational Age with Failure of Catch-Up Growth
C118700|Small for Gestational Age for Weight and Length
C114371|Antepartum Hemorrhage
C125492|First Trimester Antepartum Hemorrhage
C125493|Second Trimester Antepartum Hemorrhage
C125494|Third Trimester Antepartum Hemorrhage
C92853|Postpartum Hemorrhage
C114375|Early Postpartum Hemorrhage
C114376|Late Postpartum Hemorrhage
C78254|Device Complication
C114717|Dialysis Catheter Fracture
C114714|Dialysis Membrane Reaction
C122445|Feeding Tube Complication
C50755|Stent Distortion
C78638|Thrombus in Catheter
C71746|Vascular Access Device Complications
C121589|Central Line Complication
C121607|Central Line Infection
C78709|Vascular Access Complication
C99945|Difficult Vascular Access
C99946|Difficulty Crossing Culprit Lesion During Percutaneous Coronary Intervention
C84459|Vascular Access Graft Failure
C84424|Dialysis Access Failure
C2978|Cyst
C110941|Allantoic Cyst
C34935|Baker Cyst
C97060|Biliary Cyst
C2908|Branchial Cyst
C40158|Endometrial Cyst
C26706|Bartholin Cyst
C3865|Epididymal Cyst
C3650|Conjunctival Cyst
C82984|Foregut Cyst
C40465|Jaw Keratocyst
C97063|Hydatid Cyst
C75548|Hemorrhagic Cyst
C96205|Meniscal Cyst
C83177|Mucous Cyst
C54220|Odontogenic Cyst
C97061|Metaplastic Synovial Cyst
C96357|Microcyst
C4759|Oral Cavity Cyst
C113736|Retention Cyst
C4797|Perineural Cyst
C27649|Salivary Cyst
C82893|Tonsillar Cyst
C85189|Thyroglossal Duct Cyst
C85216|Urachal Cyst
C3887|Vaginal Cyst
C4386|Adrenal Cyst
C2943|Choledochal Cyst
C3026|Esophageal Cyst
C3960|Hepatic Cyst
C4359|Lacrimal Gland Cyst
C4368|Nasal Cavity Cyst
C3929|Nasal Sinus Cyst
C3304|Pancreatic Cyst
C4384|Parathyroid Cyst
C3934|Pharyngeal Cyst
C3667|Thyroid Cyst
C3971|Urethral Cyst
C35661|Chest Wall Cyst
C6722|Chest Wall Ectopic Synovial Bursa Cyst
C3982|Iris Cyst
C3983|Iris Idiopathic Cyst
C7761|Iris Implantation Cyst
C3984|Iris Exudative Cyst
C4362|Iris Miotic Cyst
C3985|Ciliary Body Cyst
C3986|Ciliary Body Idiopathic Cyst
C4363|Ciliary Body Miotic Cyst
C7762|Ciliary Body Implantation Cyst
C6084|External Ear Cyst
C6087|External Auditory Canal Sebaceous Cyst
C7746|Scrotal Cyst
C6388|Scrotal Epidermoid Cyst
C4379|Scrotal Sebaceous Cyst
C3977|Uterine Cervix Cyst
C34835|Nabothian Cyst
C3885|Testicular Cyst
C6370|Testicular Epidermoid Cyst
C5315|Breast Cyst
C3378|Solitary Breast Cyst
C3652|Eyelid Cyst
C3987|Eyelid Sebaceous Cyst
C3970|Kidney Cyst
C122992|Solitary Cyst of Kidney
C103919|Solitary Multilocular Kidney Cyst
C3884|Skin Cyst
C3238|Milium Cyst
C27126|Multiple Pigmented Terminal Hair Cysts
C34931|Pilonidal Cyst
C4465|Vellus Hair Cyst
C3134|Epidermal Inclusion Cyst
C3018|Sebaceous Cyst
C3220|Mediastinal Cyst
C26892|Thymic Cyst
C45379|Multilocular Thymic Cyst
C3300|Ovarian Cyst
C4069|Ovarian Endometriotic Cyst
C4927|Benign Ovarian Cyst
C34516|Corpus Luteum Cyst
C5215|Complex Ovarian Cyst
C3973|Ovarian Germinal Inclusion Cyst
C5218|Unilocular Ovarian Cyst
C34617|Follicular Cyst of Ovary
C26776|Solitary Follicular Cyst of Ovary
C129729|Autonomous Ovarian Follicular Cyst
C3855|Simple Ovarian Cyst
C5217|Retention Ovarian Cyst
C5216|Functional Ovarian Cyst
C4657|Central Nervous System Cyst
C4351|Choroid Plexus Cyst
C5506|Endodermal Cyst
C4352|Ependymal Cyst
C27119|Pituitary Gland Cyst
C4977|Rathke Pouch Cyst
C5445|Central Nervous System Colloid Cyst
C5814|Adult Third Ventricle Colloid Cyst
C5815|Childhood Third Ventricle Colloid Cyst
C5507|Central Nervous System Epidermoid Cyst
C4658|Epidermoid Intraspinal Cyst
C5417|Pineal Gland Epidermoid Cyst
C3648|Cerebral Cyst
C5801|Childhood Cerebral Cyst
C99020|Porencephalic Cyst
C9483|Pineal Gland Cyst
C6266|Pineal Gland Glial Cyst
C8322|Intracranial Colloid Cyst
C3947|Third Ventricle Colloid Cyst
C5590|Intraspinal Cyst
C3979|Spinal Meningeal Cyst
C5415|Multiple Spinal Meningeal Cysts
C4398|Spinal Arachnoid Cyst
C4622|Meningeal Cyst
C3455|Arachnoid Cyst
C50754|Stenosis
C100081|In Stent Restenosis
C78226|Bronchial Stricture
C79608|Laryngeal Stenosis
C78555|Pharyngeal Stenosis
C78646|Tracheal Stenosis
C79473|Reproductive System Stenosis
C78295|Fallopian Tube Stenosis
C78626|Spermatic Cord Stenosis
C78697|Uterine Cervical Stenosis
C36064|Vaginal Stricture
C78708|Vas Deferens Stenosis
C79476|Urinary Tract Stenosis
C78212|Bladder Neck Stenosis
C115958|Ureteral Stenosis
C78661|Ureteral Stricture
C79821|Urethral Stricture
C78683|Urostomy Stenosis
C62433|Valvular Stenosis
C50462|Aortic Valve Stenosis
C99986|Mild Cardiac Valve Stenosis
C50654|Mitral Valve Stenosis
C99990|Moderate Cardiac Valve Stenosis
C99992|No Cardiac Valve Stenosis
C100013|Severe Cardiac Valve Stenosis
C50783|Tricuspid Valve Stenosis
C79468|Digestive System Stenosis
C78173|Anal Stenosis
C78182|Bile Duct Stenosis
C78243|Colonic Stenosis
C78317|Gastric Stenosis
C78628|Gastrointestinal Stoma Stenosis
C98962|Intestinal Stricture
C78519|Pancreatic Duct Stenosis
C78589|Rectal Stenosis
C34595|Esophageal Stricture
C27109|Radiation-Induced Esophageal Stricture
C78617|Small Intestinal Stenosis
C78260|Duodenal Stenosis
C78356|Ileal Stenosis
C102984|Congenital Ileal Stenosis
C78400|Jejunal Stenosis
C102985|Congenital Jejunal Stenosis
C115152|Vascular Stenosis
C114762|AV Graft Stenosis
C50715|Pulmonary Stenosis
C85172|Subvalvular Aortic Stenosis
C85176|Supravalvular Aortic Stenosis
C98643|Venous Stenosis
C111645|Inferior Vena Cava Stenosis
C99036|Pulmonary Vein Stenosis
C114850|Subclavian Vein Stenosis
C111653|Superior Vena Cava Stenosis
C80427|Coronary Artery Stenosis
C80426|Coronary Artery Number of Diseased Vessels (Excludes Left Main Disease)
C80428|Left Main Coronary Artery Stenosis
C80492|Left Main Coronary Artery Stenosis, Percentage
C80429|Proximal Left Anterior Descending Coronary Artery Stenosis
C80493|Proximal Left Anterior Descending Coronary Artery Stenosis, Percentage
C26791|Hemorrhage
C98808|Adrenal Hemorrhage
C74951|Bleeding on Probing
C95552|Easy Bleeding
C113149|Fetal-Maternal Hemorrhage
C26766|Epistaxis
C111644|Hemopericardium
C113742|Excessive Bleeding
C50582|Hemothorax
C35135|Intraoperative Hemorrhage
C78443|Mediastinal Hemorrhage
C3323|Petechia
C27118|Pituitary Hemorrhage
C118745|Retrobulbar Hemorrhage
C35045|Subconjunctival Hemorrhage
C50469|Vitreous Hemorrhage
C78411|Laryngeal Hemorrhage
C79699|Oral Hemorrhage
C26986|Pharyngeal Hemorrhage
C26728|Conjunctival Hemorrhage
C27317|Conjunctival Ecchymosis
C50555|Epidural Hemorrhage
C35207|Non-Traumatic Extradural Hemorrhage
C50757|Subarachnoid Hemorrhage
C117305|Subarachnoid Hemorrhage Related to Birth
C50759|Subdural Hemorrhage
C117306|Subdural Hemorrhage Related to Birth
C35656|Post Procedural Hemorrhage
C34938|Postoperative Hemorrhage
C35577|Traumatic Hemorrhage
C50484|Cephalohematoma
C50761|Subgaleal Hemorrhage
C116907|Subgaleal Hemorrhage Related to Birth
C26758|Ecchymosis
C27159|Gingival Ecchymosis
C78336|Urinary Tract Hemorrhage
C78594|Renal Hemorrhage
C78664|Ureteric Hemorrhage
C78669|Urethral Hemorrhage
C78674|Urinary Bladder Hemorrhage
C78682|Urostomy Site Bleeding
C78372|Intra-Abdominal Hemorrhage
C27138|Peritoneal Hemorrhage
C34680|Non-Traumatic Hemoperitoneum
C27303|Peritoneal and Retroperitoneal Hemorrhage
C26944|Retroperitoneal Hemorrhage
C79472|Reproductive System Hemorrhage
C61474|First Trimester Bleeding
C78332|Hematosalpinx
C34818|Metrorrhagia
C78511|Ovarian Hemorrhage
C35617|Post Abortion Hemorrhage
C35220|Postcoital Bleeding
C34937|Postmenopausal Hemorrhage
C78572|Prostatic Hemorrhage
C78623|Spermatic Cord Hemorrhage
C78635|Testicular Hemorrhage
C78686|Uterine Hemorrhage
C26945|Vaginal Hemorrhage
C78705|Vas Deferens Hemorrhage
C78596|Respiratory Tract Hemorrhage
C78224|Bronchial Hemorrhage
C116334|Pulmonary Alveolar Hemorrhage
C78578|Pulmonary Hemorrhage
C78642|Tracheal Hemorrhage
C78648|Tracheostomy Site Bleeding
C50438|Intracranial Hemorrhage
C8619|Intracranial Tumor Hemorrhage
C99261|Perinatal Intracranial Hemorrhage
C116910|Intracranial Hemorrhage Related to Birth
C50485|Cerebral Hemorrhage
C116909|Cerebral Hemorrhage Related to Birth
C99065|Subependymal Hemorrhage
C117201|Perinatal Subependymal Hemorrhage
C103187|Perinatal Subependymal Hemorrhage with Intraventricular and Intracerebral Extension
C50896|Intraventricular Brain Hemorrhage
C101324|Perinatal Intraventricular Hemorrhage
C116911|Intraventricular Hemorrhage Related to Birth
C119722|Digestive System Hemorrhage
C78521|Pancreatic Hemorrhage
C78334|Bile Duct Hemorrhage
C78338|Hepatic Hemorrhage
C48592|Gastrointestinal Hemorrhage
C98936|Hematochezia
C78660|Upper Gastrointestinal Hemorrhage
C78271|Esophageal Hemorrhage
C78282|Esophageal Varices Hemorrhage
C54582|Gastric Hemorrhage
C26949|Duodenal Ulcer Hemorrhage
C78438|Lower Gastrointestinal Hemorrhage
C34681|Hemorrhage of Rectum and Anus
C78168|Anal Hemorrhage
C78337|Hemorrhoidal Hemorrhage
C54581|Intestinal Hemorrhage
C78234|Cecal Hemorrhage
C78257|Duodenal Hemorrhage
C78353|Ileal Hemorrhage
C78371|Intestinal Stoma Site Hemorrhage
C78240|Colonic Hemorrhage
C27054|Rectal Hemorrhage
C78397|Jejunal Hemorrhage
C83490|Microscopic Finding
C43265|Ultrastructural Finding
C43266|Birbeck Granules Present
C60881|Cytoplasmic Membrane-Bound Granules Present
C60677|Enterochromaffin-Like Type Granules Present
C60678|Enterochromaffin Type Granules Present
C45961|Giant Mitochondria Present
C45955|Well Developed Rough Endoplasmic Reticulum Present
C45954|Misplaced Exocytosis Present
C116010|Crown-Like Structure
C116011|Crown-Like Structures of the Breast
C53665|Intermediate Filaments Present
C45956|Concentric Aggregates of Intermediate Filaments Present
C40998|Positive Immunophenotypic Test Result
C60675|Argentaffin Positive Neoplastic Cells Present
C70851|B44-Positive Neoplastic Cells Present
C71616|CD13-Positive Neoplastic Cells Present
C40996|CD14-Positive Neoplastic Cells Present
C45381|CD15-Positive Neoplastic Cells Present
C70559|CD19-Positive Neoplastic Cells Present
C43267|CD1a-Positive Neoplastic Cells Present
C70560|CD20-Positive Neoplastic Cells Present
C43269|CD21-Positive Neoplastic Cells Present
C69081|CD23-Positive Neoplastic Cells Present
C71690|CD24-Positive Neoplastic Cells Present
C39715|CD30-Positive Neoplastic Cells Present
C71617|CD33-Positive Neoplastic Cells Present
C70850|CD25-Positive Neoplastic Cells Present
C43270|CD35-Positive Neoplastic Cells Present
C45295|CD4-Positive Neoplastic Cells Present
C51144|CD34 Positive Neoplastic Cells Present
C72562|CD43-Positive Neoplastic Cells Present
C72561|CD45-Positive Neoplastic Cells Present
C69080|CD5-Positive Neoplastic Cells Present
C40995|CD68-Positive Neoplastic Cells Present
C71597|CD52-Positive Neoplastic Cells Present
C45296|CD56-Positive Neoplastic Cells Present
C71618|CD7-Positive Neoplastic Cells Present
C45324|CD8-Positive Neoplastic Cells Present
C71619|CD57-Positive Neoplastic Cells Present
C51145|CD99 Positive Neoplastic Cells Present
C47807|Calcitonin Positive Neoplastic Cells Present
C81765|Cytokeratin Positive Neoplastic Cells Present
C73940|EBV-Positive Neoplastic Cells Present
C60706|Glucagon-Like Peptide Positive Neoplastic Cells Present
C43268|HMB-45-Positive Neoplastic Cells Present
C60703|Gastrin Positive Neoplastic Cells Present
C80278|High Phospho-AKT Immunohistochemical Expression
C127196|Growth Hormone and Prolactin Producing Neoplastic Cells Present
C54560|Human Chorionic Gonadotropin Positive Neoplastic Cells Present
C73941|Human Herpesvirus 8-Positive Neoplastic Cells Present
C80277|Low Phospho-AKT Immunohistochemical Expression
C83178|Membranous Positivity Present
C60707|Neuron-Specific Enolase Positive Neoplastic Cells Present
C79605|MART-1 Positive Neoplastic Cells Present
C45962|Multihormonal Immunoreactivity Present
C138900|Neoplastic Cells with Double Expression of MYC and BCL2 Proteins Present
C40993|S-100-Positive Neoplastic Cells Present
C60676|Serotonin Positive Neoplastic Cells Present
C139010|Neoplastic Cells with TFH Cell Phenotype Present
C60704|Somatostatin Positive Neoplastic Cells Present
C47806|Thyroglobulin Positive Neoplastic Cells Present
C60705|VIP Positive Neoplastic Cells Present
C95990|p16 Positive Neoplastic Cells Present
C81013|Synaptophysin Positive Neoplastic Cells Present
C147080|Chromogranin-Positive Neoplastic Cells Present
C60674|Chromogranin A Positive Neoplastic Cells Present
C35867|Morphologic Finding
C42762|Abnormal Eosinophilic Granules Present
C60371|Absence of Basal Cell Layer
C60922|Absence of Invasion or Limited Invasion Present
C41429|Absence of Malignant Features
C54252|Acantholysis
C35265|Acanthosis
C39721|Abundance of Small Lymphocytes
C118143|Accelerated Placental Villous Maturation
C42087|Aggregates of Poorly Differentiated Neuroepithelial Cells Present
C132483|Adipocyte Accumulation
C54019|Apple Green Dichromism Present in Polarized Congo-Red Stained Sections
C34401|Aschoff Body
C35952|Arias-Stella Reaction
C118140|Appropriate Placental Villous Maturation
C36015|Asbestos Body
C35962|Atypical Mitotic Figures
C118152|Avascular Placental Villi
C36250|Auer Rods Present
C120867|Bacteria Present
C43908|Bile Pigment Present
C36013|Bead-Like Arrangement of Elastic Fibers
C46128|Capsular Invasion
C36023|Call Exner Bodies Present
C120869|Cellular Debris
C129469|Cellular Dedifferentiation
C7654|Cellular Precursor of Cancer
C49066|Cellular Pleomorphism
C60826|Cellular Pseudostratification
C54392|Cellular Stratification
C120870|Cholesterol Cleft
C35947|Cementum Formation
C118157|Chronic Uteroplacental Vasculitis
C39565|Coarse Azurophilic Granules Present
C53309|Collagen Bundles Formation
C40870|Connective Tissue Alteration
C36021|Corpora Amylacea
C67077|Crohn Disease-Like Reaction
C82955|Cryptitis
C104013|Cytoplasm Presence of Less than or Equal to Twenty Five Percent
C53990|Cytoplasmic Eosinophilic Globules Present
C54122|Cytoplasmic Hyaline Globules Present
C39569|Cytoplasmic Protrusions Present
C96302|Cytoplasmic Vacuolation
C36011|Decidual Reaction
C60830|Deep Tissue Invasion
C41467|Dense Intercellular Reticulin Network Present
C54009|Distortion of the Hair Follicle
C111786|Ductal or Ductular Proliferation
C111785|Ductopenia
C62570|Dyskeratosis
C39643|Elastophagocytosis
C35987|Emperipolesis
C54206|Endophytic Tumor Growth
C98839|Endometrioid Tissue Present
C35949|Enamel Formation
C132487|Eosinophilic Globules
C41463|Eosinophilic Granular Bodies Present
C48901|Epineurial Invasion
C55074|Excellent Tissue Fixation with Well Preserved Nuclear Details
C96181|Epithelial Damage
C26772|Fat Necrosis
C35950|Fleurette Formation
C55077|Fair Tissue Fixation with Definable Architectural Characteristics
C139029|Florid Follicular Hyperplasia
C82969|Focal Podocyte Injury
C38646|Fried-Egg Appearance of the Bone Marrow
C120883|Fungus Present
C48595|Ganglion Cell-Like Elements Present
C26783|Gliosis
C36186|Globular Hyaline Body
C41006|Germinal Centers with Prominent Hyalinized Vessels Present
C83473|Glomerular Basement Membrane Spikes Present
C82936|Glomerular Basement Membrane Wrinkling
C83173|Glycogen-Rich Component Present
C55075|Good Tissue Fixation with Definable Cellular Details
C113754|Granulomatosis
C34672|Heinz Body
C42066|Hemorrhagic Neuroblastic Nodules Present
C132488|Helicobacter Present
C35380|Hemorrhagic Change
C111944|Histologic Chorioamnionitis
C82950|Hyperchromasia
C96219|Hyperparakeratosis
C120890|Hyperplasia and Metaplasia
C82968|Hypersegmented Neutrophils Present
C120891|Hypertrophy and Hyperplasia
C120892|Hypertrophy and Karyomegaly
C82997|Hypocellular Tissue
C61407|Inconspicuous Syncytiotrophoblastic Cell Component
C41428|Increased Cellularity Present
C49026|Inclusion-Like Nucleoli
C120945|Inclusion Body
C129004|Increased Mucification Present
C118144|Increased Placental Syncytial Knots
C53992|Infiltrating Tumor Margins Present
C139155|Infiltrate and Fibrosis
C136715|Intercellular Bridges Present
C41468|Intracellular Accumulation of Lipids
C139160|Intimal Hyperplasia
C60532|Intraluminal Masses of Mucin Present
C82976|Intramucosal Eosinophils Present
C96189|Invasion of Muscularis Mucosa Present
C123331|Invasive Focus of Carcinoma Cells Measuring More Than 5 mm Present
C92551|Islands of Neuropil-Like Matrix Present
C106301|Isolated Tumor Cells
C120894|Karyocytomegaly
C120895|Karyocytomegaly and Multinucleated Hepatocytes
C53955|Large Spaces Filled with Blood Present
C137853|Largest Dimension of Residual Neoplasm
C45806|Lobular Cancerization
C35381|Mallory Bodies Present
C38730|Lymphoepithelial Lesion
C82930|Maturation Asynchrony Present
C82929|Megaloblastoid Changes Present
C54045|Melanin-Forming Neuroepithelial Cells Present
C41415|Melanosomes Present
C35988|Metaplastic Bone Formation
C36016|Michaelis-Gutmann Body
C38486|Micrometastasis
C50650|Microperforation
C74602|Mitotic Figure
C65201|Minimal Invasion Present
C40556|Morphologic Overlap
C82974|Mucin Depletion
C39640|Mucinous Degeneration
C139158|Necrosis and Infiltrate
C139159|Necrosis and Inflammation
C96208|Negative for Neoplasia
C39763|Neoplastic Small Cleaved Follicle Center Cells not Present
C35993|Neoplastic Bone Formation
C42051|Neuropil Present
C36191|Neurosecretory Granules Present
C43907|Neutral Epithelial Mucin Present
C54041|Nodular, Reticulin-Free Zones Present
C47828|Nuclear Clearing
C47829|Nuclear Grooves
C55817|Nuclear Molding
C35986|Onion-Skinning Appearance
C38721|Nuclear Pleomorphism
C83172|Nuclei of Various Sizes and Shapes Present
C83005|Osteoblastic Rimming Present
C39603|Osteoclastic Activity Present
C41236|Osteosclerosis
C36179|Paget Involvement
C113733|Paneth Cell-Like Change
C50686|Pannus Formation
C34892|Parakeratosis
C43273|Paracortical Involvement with Residual Follicles Present
C120903|Parasite Present
C39627|Pautrier Microabscess Present
C139156|Pathologic Intimal Thickening
C39604|Pautrier-Like Microabscess Present
C123559|Percentage of in situ Carcinoma
C41001|Peribronchial and Lobular Septal Involvement Only
C48260|Perineural Invasion
C118142|Placental Villous Dysmaturity
C106305|Pleural/Elastic Layer Invasion
C60533|Polarization of Nuclei Towards the Glandular Lumen
C36126|Premalignant Change
C55239|Poor Tissue Fixation with No Definable Features
C38408|Progressive Transformation of Germinal Centers
C54565|Preserved Nuclear Polarity
C39652|Proliferation of Follicular Dendritic Cells Present
C41414|Pseudo-Onion Bulbs Formation
C35994|Pseudoangiomatoid Space Formation
C41005|Reactive Germinal Centers Present
C60359|Prostatic Crystalloids Present
C35991|Red Blood Cells Extravasation
C82992|Regenerative Epithelium Present
C41465|Rosenthal Fibers Present
C120879|Respiratory Tract Epithelial Alteration
C36014|Russell Body
C45334|Rimming of Adipose Tissue Cells Present
C113715|Scattered Microscopic Foci
C96214|Scattered Interstitial Eosinophils Present
C54124|Schiller-Duval Body
C50739|Seroma
C39628|Single Cell Exocytosis
C69309|Sclerosis
C54552|Single Malignant Cells Present
C39615|Sinusoidal Infiltration
C39745|Sparsely Cellular Collagenised Areas Present
C96291|Spongiosis
C60829|Squamoid Corpuscle
C36175|Stellate Configuration
C36024|Starry Sky Pattern
C35954|Stromal Invasion
C50760|Subepithelial Infiltration
C139161|Stromal Valvular Proliferation
C50769|Thinning of Tissue
C121869|Suspicious for Malignancy
C50774|Tissue Degeneration
C113735|Transition Zone-Like
C62448|Tubule Formation
C41417|Vater-Pacini Corpuscles-Like Structures Present
C36022|Verocay Bodies Present
C38731|Villous Atrophy
C82939|Viral Inclusions Present
C39762|Villous Lymphocytes Not Present
C49097|Wide Vessel-Like Spaces Formation
C96237|Widespread Alveolar Pneumocyte Damage Present
C120913|Yeast Present
C54251|Windblown Appearance of Atypical Keratinocytes
C36007|Cast Formation
C36008|Erythrocytic Cast Formation
C35428|Epithelial Cast Formation
C36009|Leukocytic Cast Formation
C35414|Granular Cast Formation
C35429|Fatty Cast Formation
C35379|Hyaline Cast Formation
C35430|Waxy Cast Formation
C94811|Clark Level Finding
C94814|Clark Level III
C94812|Clark Level I
C94815|Clark Level IV
C94816|Clark Level V
C94813|Clark Level II
C41454|Cystic Change
C41464|Macrocystic Change
C50520|Cyst Formation
C41456|Microcystic Change
C111945|Deciduitis
C118134|Chronic Plasma Cell Deciduitis
C118132|Chronic Choriodeciduitis
C35948|Dentin Formation
C62141|Dysplastic Dentin Formation
C41235|Extramedullary Hematopoiesis
C97068|Adult Extramedullary Hematopoiesis
C47818|Follicular Structures Present
C47819|Macrofollicular Structures Present
C47820|Microfollicular Structures Present
C35985|Hemophagocytosis
C35584|Erythrophagocytosis
C3124|Hypertrophy
C96239|Glomerular Hypertrophy
C97100|Muscle Cell Hypertrophy
C118162|Placental Hypertrophy
C79864|Intraepithelial Lymphocytosis
C79866|Colonic Intraepithelial Lymphocytosis
C79865|Small Intestinal Intraepithelial Lymphocytosis
C35541|Hyperkeratosis
C62569|Epidermolytic Hyperkeratosis
C112827|Phrynoderma
C53667|Intracytoplasmic Eosinophilic Inclusion
C49011|Intracytoplasmic Eosinophilic Spherical Inclusion
C96268|Intracytoplasmic Lipofuscin Present
C48357|Abundant Intracytoplasmic Lipofuscin Present
C65174|Keratin Present
C54213|Horny Masses of Keratin Present
C54096|Nodules of Compact Keratin Present
C41460|Low Cellularity Present
C139138|Decreased Cellularity Present
C60807|Melanin Pigment Present
C49098|Melanin-Pigmented Dendritic Cells Present
C39616|Karyorrhexis
C118160|Basal Decidual Karyorrhexis
C118154|Placental Villous Stromal-Vascular Karyorrhexis
C49015|Nuclear Palisading
C54209|Peripheral Nuclear Palisading
C96344|Perinuclear Halo Present
